CohortMonth,MonthSinceFirstPurchase,retained_customers,cohort_size,retention_rate
2009-12,0,864,864,100.0
2009-12,1,302,864,34.95
2009-12,2,280,864,32.41
2009-12,3,356,864,41.2
2009-12,4,326,864,37.73
2009-12,5,307,864,35.53
2009-12,6,313,864,36.23
2009-12,7,296,864,34.26
2009-12,8,288,864,33.33
2009-12,9,307,864,35.53
2009-12,10,354,864,40.97
2009-12,11,431,864,49.88
2009-12,12,320,864,37.04
2009-12,13,238,864,27.55
2009-12,14,204,864,23.61
2009-12,15,247,864,28.59
2009-12,16,222,864,25.69
2009-12,17,255,864,29.51
2009-12,18,243,864,28.12
2009-12,19,218,864,25.23
2009-12,20,218,864,25.23
2009-12,21,265,864,30.67
2009-12,22,257,864,29.75
2009-12,23,346,864,40.05
2009-12,24,167,864,19.33
2010-01,0,349,349,100.0
2010-01,1,67,349,19.2
2010-01,2,108,349,30.95
2010-01,3,104,349,29.8
2010-01,4,92,349,26.36
2010-01,5,107,349,30.66
2010-01,6,90,349,25.79
2010-01,7,79,349,22.64
2010-01,8,99,349,28.37
2010-01,9,108,349,30.95
2010-01,10,104,349,29.8
2010-01,11,56,349,16.05
2010-01,12,79,349,22.64
2010-01,13,63,349,18.05
2010-01,14,61,349,17.48
2010-01,15,54,349,15.47
2010-01,16,81,349,23.21
2010-01,17,70,349,20.06
2010-01,18,57,349,16.33
2010-01,19,67,349,19.2
2010-01,20,85,349,24.36
2010-01,21,67,349,19.2
2010-01,22,82,349,23.5
2010-01,23,20,349,5.73
2010-02,0,342,342,100.0
2010-02,1,80,342,23.39
2010-02,2,77,342,22.51
2010-02,3,97,342,28.36
2010-02,4,84,342,24.56
2010-02,5,64,342,18.71
2010-02,6,66,342,19.3
2010-02,7,99,342,28.95
2010-02,8,83,342,24.27
2010-02,9,92,342,26.9
2010-02,10,41,342,11.99
2010-02,11,43,342,12.57
2010-02,12,52,342,15.2
2010-02,13,59,342,17.25
2010-02,14,40,342,11.7
2010-02,15,70,342,20.47
2010-02,16,54,342,15.79
2010-02,17,52,342,15.2
2010-02,18,47,342,13.74
2010-02,19,80,342,23.39
2010-02,20,81,342,23.68
2010-02,21,54,342,15.79
2010-02,22,19,342,5.56
2010-03,0,392,392,100.0
2010-03,1,74,392,18.88
2010-03,2,87,392,22.19
2010-03,3,93,392,23.72
2010-03,4,88,392,22.45
2010-03,5,73,392,18.62
2010-03,6,97,392,24.74
2010-03,7,116,392,29.59
2010-03,8,106,392,27.04
2010-03,9,43,392,10.97
2010-03,10,41,392,10.46
2010-03,11,53,392,13.52
2010-03,12,79,392,20.15
2010-03,13,61,392,15.56
2010-03,14,80,392,20.41
2010-03,15,64,392,16.33
2010-03,16,64,392,16.33
2010-03,17,58,392,14.8
2010-03,18,62,392,15.82
2010-03,19,78,392,19.9
2010-03,20,79,392,20.15
2010-03,21,31,392,7.91
2010-04,0,268,268,100.0
2010-04,1,53,268,19.78
2010-04,2,56,268,20.9
2010-04,3,45,268,16.79
2010-04,4,50,268,18.66
2010-04,5,61,268,22.76
2010-04,6,77,268,28.73
2010-04,7,72,268,26.87
2010-04,8,28,268,10.45
