CohortMonth,MonthSinceFirstPurchase,revenue,cohort_revenue,revenue_retention_rate
2009-12,0,466236.23,466236.23,100.0
2009-12,1,189536.85,466236.23,40.65
2009-12,2,167989.282,466236.23,36.03
2009-12,3,212595.87,466236.23,45.6
2009-12,4,198643.95,466236.23,42.61
2009-12,5,190084.88,466236.23,40.77
2009-12,6,185902.91,466236.23,39.87
2009-12,7,182685.42,466236.23,39.18
2009-12,8,173485.53,466236.23,37.21
2009-12,9,242755.53,466236.23,52.07
2009-12,10,284596.87,466236.23,61.04
2009-12,11,368525.572,466236.23,79.04
2009-12,12,230898.14,466236.23,49.52
2009-12,13,138790.28,466236.23,29.77
2009-12,14,124815.85,466236.23,26.77
2009-12,15,141152.79,466236.23,30.27
2009-12,16,114406.171,466236.23,24.54
2009-12,17,163764.17,466236.23,35.12
2009-12,18,141455.55,466236.23,30.34
2009-12,19,135749.46,466236.23,29.12
2009-12,20,138112.3,466236.23,29.62
2009-12,21,202481.731,466236.23,43.43
2009-12,22,195487.88,466236.23,41.93
2009-12,23,302538.38,466236.23,64.89
2009-12,24,106328.41,466236.23,22.81
2010-01,0,125857.65,125857.65,100.0
2010-01,1,23492.62,125857.65,18.67
2010-01,2,42061.83,125857.65,33.42
2010-01,3,45047.721,125857.65,35.79
2010-01,4,42810.18,125857.65,34.01
2010-01,5,52665.880000000005,125857.65,41.85
2010-01,6,37673.24,125857.65,29.93
2010-01,7,37946.97,125857.65,30.15
2010-01,8,50607.76,125857.65,40.21
2010-01,9,51469.48,125857.65,40.89
2010-01,10,59146.51,125857.65,46.99
2010-01,11,29167.91,125857.65,23.18
2010-01,12,33050.46,125857.65,26.26
2010-01,13,28274.34,125857.65,22.47
2010-01,14,28232.75,125857.65,22.43
2010-01,15,22824.89,125857.65,18.14
2010-01,16,36360.51,125857.65,28.89
2010-01,17,30515.69,125857.65,24.25
2010-01,18,28602.72,125857.65,22.73
2010-01,19,32287.97,125857.65,25.65
2010-01,20,44638.45,125857.65,35.47
2010-01,21,39715.6,125857.65,31.56
2010-01,22,46763.6,125857.65,37.16
2010-01,23,8062.17,125857.65,6.41
2010-02,0,125964.493,125964.493,100.0
2010-02,1,27726.27,125964.493,22.01
2010-02,2,31861.78,125964.493,25.29
2010-02,3,39889.51,125964.493,31.67
2010-02,4,35730.75,125964.493,28.37
2010-02,5,27412.06,125964.493,21.76
2010-02,6,32035.76,125964.493,25.43
2010-02,7,44656.621,125964.493,35.45
2010-02,8,41283.31,125964.493,32.77
2010-02,9,44799.090000000004,125964.493,35.56
2010-02,10,18090.19,125964.493,14.36
2010-02,11,16768.44,125964.493,13.31
2010-02,12,23866.18,125964.493,18.95
2010-02,13,26579.31,125964.493,21.1
2010-02,14,17460.59,125964.493,13.86
2010-02,15,35625.39,125964.493,28.28
2010-02,16,23894.15,125964.493,18.97
2010-02,17,21367.14,125964.493,16.96
2010-02,18,21691.13,125964.493,17.22
2010-02,19,41213.29,125964.493,32.72
2010-02,20,40148.62,125964.493,31.87
2010-02,21,30764.12,125964.493,24.42
2010-02,22,8722.76,125964.493,6.92
2010-03,0,177555.601,177555.601,100.0
2010-03,1,31470.22,177555.601,17.72
2010-03,2,30593.43,177555.601,17.23
2010-03,3,39404.4,177555.601,22.19
2010-03,4,32020.26,177555.601,18.03
2010-03,5,37063.02,177555.601,20.87
2010-03,6,43766.79,177555.601,24.65
2010-03,7,58287.78,177555.601,32.83
2010-03,8,51157.16,177555.601,28.81
2010-03,9,15654.44,177555.601,8.82
2010-03,10,15174.01,177555.601,8.55
