Customer ID,first_purchase_date,last_purchase_date,number_of_orders,number_of_items,total_revenue,average_order_value,avg_items_per_invoice,avg_unique_stockcodes_per_invoice,customer_type,R,F,M,rfm_score,customer_segment,churn_status,days_since_last_purchase,Country,LTV,CohortMonth
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,12,74285,77556.46,6463.038333333334,6190.416666666667,2.8333333333333335,Wholesale,,,,,,,,,,
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,8,2967,4921.53,615.19125,370.875,27.75,Retail,3,3,3,333,Best Customer,Active,1.0,Iceland,4921.53,2010-10
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,2714,2019.4,403.88,542.8,9.4,Wholesale,,,,,,,,,,
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,4,1624,4428.69,1107.1725,406.0,43.75,Retail,3,2,3,323,Loyal Customer,Active,18.0,Italy,4428.69,2010-04
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,197,334.4,334.4,197.0,17.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,309.0,Norway,334.4,2011-02
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,261,300.93,300.93,261.0,21.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,374.0,Unspecified,300.93,2010-11
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,10,724,2849.84,284.98400000000004,72.4,10.1,Retail,3,3,3,333,Best Customer,Active,35.0,Norway,2849.84,2010-11
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,212,406.76,203.38,106.0,12.0,Retail,2,1,1,211,At Risk / Lost Customer,Churned,203.0,Bahrain,406.76,2010-10
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,1079.4,1079.4,530.0,58.0,Wholesale,,,,,,,,,,
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,543,947.61,473.805,271.5,17.5,Retail,2,1,2,212,Average Customer,Churned,213.0,Bahrain,947.61,2010-05
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,6,3416,6371.73,1061.955,569.3333333333334,23.5,Wholesale,,,,,,,,,,
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,3,6587,18287.66,6095.886666666666,2195.6666666666665,98.66666666666667,Wholesale,,,,,,,,,,
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,5,1079,3887.07,777.414,215.8,15.2,Retail,3,2,3,323,Loyal Customer,Active,1.0,Austria,3887.07,2009-12
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,10,2739,8873.39,887.3389999999999,273.9,36.0,Retail,2,3,3,233,Loyal Customer,Active,57.0,Cyprus,8873.39,2009-12
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,8,2459,4252.89,531.61125,307.375,27.125,Retail,2,3,3,233,Loyal Customer,Active,51.0,Austria,4252.89,2010-02
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,4,235,511.25,127.8125,58.75,7.25,Retail,1,2,2,122,Average Customer,Churned,286.0,Belgium,511.25,2010-01
12362,2009-12-01 10:10:00,2011-12-06 15:40:00,11,2230,5356.23,486.92999999999995,202.72727272727272,24.272727272727273,Retail,3,3,3,333,Best Customer,Active,2.0,Belgium,5356.23,2009-12
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,408,552.0,276.0,204.0,11.5,Retail,2,1,2,212,Average Customer,Active,109.0,Unspecified,552.0,2011-04
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1506,1313.1,328.275,376.5,21.25,Retail,3,2,2,322,Loyal Customer,Active,7.0,Belgium,1313.1,2011-08
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,174,641.38,320.69,87.0,11.0,Retail,1,1,2,112,At Risk / Lost Customer,Churned,290.0,Cyprus,641.38,2011-02
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,296,500.24,500.24,296.0,3.0,Retail,1,1,2,112,At Risk / Lost Customer,Churned,633.0,Cyprus,500.24,2010-03
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,173,168.9,168.9,173.0,11.0,Retail,3,1,1,311,Average Customer,Active,3.0,Denmark,168.9,2011-12
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,330,917.6999999999999,917.6999999999999,330.0,18.0,Retail,1,1,2,112,At Risk / Lost Customer,Churned,627.0,Cyprus,917.6999999999999,2010-03
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1241,1791.15,597.0500000000001,413.6666666666667,31.0,Retail,1,2,3,123,Average Customer,Churned,412.0,Austria,1791.15,2010-03
12370,2010-02-09 09:41:00,2011-10-19 14:51:00,7,2604,4316.56,616.6514285714286,372.0,28.714285714285715,Retail,2,3,3,233,Loyal Customer,Active,50.0,Cyprus,4316.56,2010-02
