PurchaseMonth,Revenue,Orders
2009-12,466236.23,1336
2010-01,315394.5,876
2010-02,317446.395,949
2010-03,459939.571,1297
2010-04,411962.67100000003,1148
2010-05,398303.7,1201
2010-06,431097.56,1311
2010-07,400623.31,1228
2010-08,384772.22000000003,1124
2010-09,541800.151,1479
2010-10,718251.39,1883
2010-11,820575.462,2310
2010-12,407473.6,1259
2011-01,298557.62,870
2011-02,299173.5,885
2011-03,386050.81,1151
2011-04,324497.641,1002
2011-05,454289.47000000003,1386
2011-06,425936.25,1230
2011-07,375314.161,1150
2011-08,390052.06,1124
2011-09,585920.482,1516
2011-10,617774.6900000001,1640
2011-11,773107.09,2309
2011-12,228578.4,676
