PurchaseMonth,customer_status,Customers
2009-12,New,864
2010-01,New,349
2010-02,New,342
2010-03,New,392
2010-04,New,268
2010-05,New,234
2010-06,New,240
2010-07,New,176
2010-08,New,146
2010-09,New,213
2010-10,New,349
2010-11,New,289
2010-12,New,68
2011-01,New,63
2011-02,New,116
2011-03,New,163
2011-04,New,101
2011-05,New,99
2011-06,New,100
2011-07,New,87
2011-08,New,92
2011-09,New,170
2011-10,New,187
2011-11,New,165
2011-12,New,21
2009-12,Returning,0
2010-01,Returning,302
2010-02,Returning,347
2010-03,Returning,544
2010-04,Returning,581
2010-05,Returning,636
2010-06,Returning,690
2010-07,Returning,662
2010-08,Returning,672
2010-09,Returning,816
2010-10,Returning,999
2010-11,Returning,1166
2010-12,Returning,729
2011-01,Returning,599
2011-02,Returning,570
2011-03,Returning,703
2011-04,Returning,665
2011-05,Returning,861
2011-06,Returning,801
2011-07,Returning,752
2011-08,Returning,745
2011-09,Returning,960
2011-10,Returning,1014
2011-11,Returning,1300
2011-12,Returning,519
